지역,업체수(개소),비율(퍼센트),종사자수(명)
서울,1465,16.5,1494
부산,669,7.5,686
대구,436,4.9,490
인천,602,6.8,655
광주,293,3.3,298
대전,262,3,280
울산,211,2.4,239
세종,48,0.5,48
경기,2558,28.8,2963
강원,279,3.1,279
충북,235,2.6,316
충남,290,3.3,340
전북,216,2.4,252
전남,214,2.4,216
경북,376,4.2,388
경남,574,6.5,647
제주,140,1.6,176
