지역,업체수(개소),비율(퍼센트),종사자수(명)
서울,332,25.3,362
부산,40,3,42
대구,20,1.5,20
인천,121,9.2,121
광주,24,1.8,24
대전,16,1.2,22
울산,30,2.3,33
세종,1,0.1,1
경기,469,35.7,496
강원,32,2.4,60
충북,27,2.1,48
충남,47,3.6,55
전북,36,2.7,42
전남,26,2,27
경북,37,2.8,39
경남,36,2.7,40
제주,19,1.4,36
