기준연월,고객광역시군구명,전체이용건수,전체이용금액
202304,대구광역시,78917,2221077072
202304,전라남도,56224,1730888695
202304,제주특별자치도,11491,334440594
202305,경상남도,106838,2905746381
202305,광주광역시,59223,1624315456
202305,대전광역시,280431,9852436467
202306,세종특별자치시,81547,2939152930
202306,울산광역시,34334,981903759
202306,인천광역시,225795,6628816937
202306,전라북도,127540,3887328086
202306,충청북도,123911,4077582437
202307,경기도,1119570,35839681341
202307,경상북도,69136,2053462545
202308,부산광역시,86917,2597041254
202308,서울특별시,643207,21325976208
202309,대구광역시,68487,2020637145
202309,전라남도,52772,1811214094
202309,제주특별자치도,10092,283333925
202310,강원특별자치도,35172,1030694195
202310,세종특별자치시,85642,3376303862
202310,울산광역시,28781,867113764
202310,인천광역시,222108,6897155869
202310,전라북도,118892,4143044029
202310,충청북도,125330,4369967655
201901,경상남도,81926,2602259988
201901,광주광역시,44640,1248986185
201901,대전광역시,241561,8521435643
201902,세종특별자치시,78149,2728807607
201902,울산광역시,24990,815513712
201902,인천광역시,173013,4821803525
201902,전라북도,105078,3223538509
201902,충청북도,102669,3119905244
201903,강원도,37186,1027936665
201903,경기도,1318232,36290224607
201903,경상북도,74797,2205599591
201904,부산광역시,87892,2710549159
201904,서울특별시,718375,22631278389
201905,대구광역시,69230,2070600038
201905,전라남도,63447,1834788387
201905,제주특별자치도,14985,380805505
201906,경상남도,94836,2663148103
201906,광주광역시,52183,1403239508
201906,대전광역시,284340,9197282143
201907,세종특별자치시,93431,3159316637
201907,울산광역시,30735,958649687
201907,인천광역시,207761,5961790855
201907,전라북도,129057,3797163461
201907,충청북도,129579,3988676995
201908,강원도,36177,983931563
201908,경기도,1408788,40431830213
201908,경상북도,81561,2341082420
201909,부산광역시,81761,2542964784
201909,서울특별시,737245,21632339006
201910,경상남도,98242,2893945927
201910,광주광역시,53371,1512548077
201910,대전광역시,288463,9268202814
201911,세종특별자치시,87412,3164044131
201911,울산광역시,31341,1004514028
201911,인천광역시,230253,6089183093
201911,전라북도,127302,4092928527
201911,충청북도,124094,3914164724
201912,강원도,32905,903408972
201912,경기도,1147722,33190786557
201912,경상북도,68972,2139145076
202001,강원도,28782,799135137
